time,open,high,low,close,1 Long Short,1 Long Short Exposure,1.2 Long Short,1.2 Long Short Exposure,1 Old long,1 Old long Exposure,1.2 Old long,1.2 Old long Exposure,1 New long,1 New long Exposure,1.2 New long,1.2 New long Exposure
2020-05-01T02:00:00+08:00,8550.17,8882.78,8544.31,8818.36,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T05:00:00+08:00,8819.15,8849.8,8573.98,8620,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T08:00:00+08:00,8620,8762.04,8613.56,8726.36,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T11:00:00+08:00,8725.5,8835.7,8665.26,8815.42,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T14:00:00+08:00,8815.27,8815.27,8703.03,8794.02,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T17:00:00+08:00,8794.37,9059.18,8770,8995.66,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T20:00:00+08:00,8995.73,9022,8716.28,8823.17,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-01T23:00:00+08:00,8822.05,8858.68,8655.31,8762.74,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T02:00:00+08:00,8763.42,8780,8663.28,8729.04,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T05:00:00+08:00,8729.89,8893.43,8729.22,8826.96,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T08:00:00+08:00,8825.67,8843.64,8753,8812.35,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T11:00:00+08:00,8812.36,8856.76,8782.62,8816.42,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T14:00:00+08:00,8816.83,8846,8768,8773.42,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T17:00:00+08:00,8773.42,8887,8772.02,8834,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T20:00:00+08:00,8834.84,8950,8834.84,8919.51,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-02T23:00:00+08:00,8919.19,9010,8894,8971.98,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T02:00:00+08:00,8971.98,8972,8811,8930.53,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T05:00:00+08:00,8930.53,8985,8883.15,8972.05,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
2020-05-03T08:00:00+08:00,8972.58,9200,8937,9073.06,10000,1,10000,1,10000,0.9,10000,0.9,10000,1,10000,1
