time,open,high,low,close,Equity,Exposure
2020-05-01T02:00:00+08:00,8550.17,8882.78,8544.31,8818.36,10000,1
2020-05-01T05:00:00+08:00,8819.15,8849.8,8573.98,8620,10000,1
2020-05-01T08:00:00+08:00,8620,8762.04,8613.56,8726.36,10000,1
2020-05-01T11:00:00+08:00,8725.5,8835.7,8665.26,8815.42,10000,1
2020-05-01T14:00:00+08:00,8815.27,8815.27,8703.03,8794.02,10000,1
2020-05-01T17:00:00+08:00,8794.37,9059.18,8770,8995.66,10000,1
2020-05-01T20:00:00+08:00,8995.73,9022,8716.28,8823.17,10000,1
2020-05-01T23:00:00+08:00,8822.05,8858.68,8655.31,8762.74,10000,1
2020-05-02T02:00:00+08:00,8763.42,8780,8663.28,8729.04,10000,1
2020-05-02T05:00:00+08:00,8729.89,8893.43,8729.22,8826.96,10000,1
2020-05-02T08:00:00+08:00,8825.67,8843.64,8753,8812.35,10000,1
2020-05-02T11:00:00+08:00,8812.36,8856.76,8782.62,8816.42,10000,1
2020-05-02T14:00:00+08:00,8816.83,8846,8768,8773.42,10000,1
2020-05-02T17:00:00+08:00,8773.42,8887,8772.02,8834,10000,1
2020-05-02T20:00:00+08:00,8834.84,8950,8834.84,8919.51,10000,1
2020-05-02T23:00:00+08:00,8919.19,9010,8894,8971.98,10000,1
2020-05-03T02:00:00+08:00,8971.98,8972,8811,8930.53,10000,1
2020-05-03T05:00:00+08:00,8930.53,8985,8883.15,8972.05,10000,1
2020-05-03T08:00:00+08:00,8972.58,9200,8937,9073.06,10000,1
2020-05-03T11:00:00+08:00,9073.06,9160,9072.72,9096.21,10000,1
2020-05-03T14:00:00+08:00,9096.02,9098.43,8911.35,9033.78,10000,1
2020-05-03T17:00:00+08:00,9033.74,9140,8992,9045.5,10000,1
2020-05-03T20:00:00+08:00,9045.62,9094,8727,8767.1,10000,1
2020-05-03T23:00:00+08:00,8768.55,8887,8712,8818.29,10000,1
2020-05-04T02:00:00+08:00,8818.29,8906,8790,8843.55,10000,1
2020-05-04T05:00:00+08:00,8843.55,8955,8806,8894.16,10000,1
2020-05-04T08:00:00+08:00,8894.15,8936.1,8630.55,8746.7,10000,1
2020-05-04T11:00:00+08:00,8746.7,8768.75,8522,8606.11,10000,0.01
2020-05-04T14:00:00+08:00,8606.11,8716.8,8569.82,8691.29,10000,0.01
2020-05-04T17:00:00+08:00,8691,8697.65,8594.26,8672.36,9999.78564,0.01
2020-05-04T20:00:00+08:00,8672.57,8860,8646.52,8780.1,10001.02465,0.01
2020-05-04T23:00:00+08:00,8781.02,8887,8743.58,8799.54,10001.24821,0.01
2020-05-05T02:00:00+08:00,8799.54,8926,8790,8902.65,10002.43398,0.01
2020-05-05T05:00:00+08:00,8901.81,8950,8825,8871.96,10002.08104,0.01
2020-05-05T08:00:00+08:00,8871.92,8928.35,8822,8853.75,10001.87163,0.01
2020-05-05T11:00:00+08:00,8853.75,9118.58,8815,9006.45,10003.62768,0.01
2020-05-05T14:00:00+08:00,9007.26,9068.95,8958,9032.57,10003.92806,0.01
2020-05-05T17:00:00+08:00,9031.57,9085,8760,8844.73,10001.7679,0.01
2020-05-05T20:00:00+08:00,8845.64,8950,8806.12,8880.81,10002.18282,0.01
2020-05-05T23:00:00+08:00,8880.5,8933,8818.41,8869.44,10002.05206,0.01
2020-05-06T02:00:00+08:00,8869.79,8964.16,8851.57,8938.05,10002.84108,0.01
2020-05-06T05:00:00+08:00,8938.04,9044,8887,9021.83,10003.80455,0.01
2020-05-06T08:00:00+08:00,9021.36,9038,8906.21,8971.07,10003.22081,0.01
2020-05-06T11:00:00+08:00,8971.11,9069,8951.65,9007.92,10003.64458,0.01
2020-05-06T14:00:00+08:00,9007.82,9097.98,8992.32,9040.72,10004.02178,0.01
2020-05-06T17:00:00+08:00,9040.72,9349,9035,9313,10007.153,1
2020-05-06T20:00:00+08:00,9313.96,9380,9125,9230,10006.1985,1
2020-05-06T23:00:00+08:00,9229.76,9315.23,9212,9265.77,10045.23382,1
2020-05-07T02:00:00+08:00,9265.67,9284.86,9190.51,9236.23,10013.2098,1
2020-05-07T05:00:00+08:00,9236.23,9395,9079,9142.92,9912.053364,1
2020-05-07T08:00:00+08:00,9143.4,9374.93,9021,9330.88,10115.81892,1
